,property_type,building_name,address,access_1,access_2,access_3,age,building_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,posting_date
997,賃貸マンション,グランメール藤成,愛知県名古屋市昭和区藤成通５,地下鉄桜通線/桜山駅 歩10分,地下鉄鶴舞線/川名駅 歩14分,地下鉄鶴舞線/御器所駅 歩21分,築26年,4階建,3階,8万円,4000円,-,-,2LDK,62.34m2,https://suumo.jp/chintai/jnc_000057063062/?bc=100304703717,2024-02-19
998,賃貸マンション,グランメール藤成,愛知県名古屋市昭和区藤成通５,地下鉄桜通線/桜山駅 歩10分,地下鉄鶴舞線/川名駅 歩14分,地下鉄鶴舞線/御器所駅 歩21分,築26年,4階建,2階,8万円,4000円,-,-,2LDK,62.34m2,https://suumo.jp/chintai/jnc_000050419914/?bc=100341335055,2024-02-19
999,賃貸アパート,地下鉄桜通線 瑞穂区役所駅 2階建 築12年,愛知県名古屋市瑞穂区佐渡町５,地下鉄桜通線/瑞穂区役所駅 歩5分,地下鉄桜通線/瑞穂運動場西駅 歩9分,地下鉄桜通線/桜山駅 歩14分,築12年,2階建,2階,5.25万円,4000円,-,-,1SK,20.01m2,https://suumo.jp/chintai/jnc_000087969929/?bc=100366412677,2024-02-19
1000,賃貸アパート,ラビデンススグモ,愛知県名古屋市瑞穂区洲雲町２,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/荒畑駅 歩18分,築30年,2階建,1階,3万円,2000円,-,3万円,ワンルーム,16.76m2,https://suumo.jp/chintai/jnc_000024764881/?bc=100285952393,2024-02-19
1001,賃貸マンション,桜山ハイツ,愛知県名古屋市昭和区藤成通１,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/御器所駅 歩15分,地下鉄桜通線/瑞穂区役所駅 歩17分,築48年,8階建,3階,7.7万円,9000円,-,-,3LDK,62.95m2,https://suumo.jp/chintai/jnc_000088040181/?bc=100361875074,2024-02-19
1002,賃貸マンション,地下鉄桜通線 桜山駅 3階建 築37年,愛知県名古屋市瑞穂区洲雲町２,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄桜通線/御器所駅 歩23分,築37年,3階建,2階,3万円,2000円,-,-,1K,18m2,https://suumo.jp/chintai/jnc_000088418121/?bc=100364343195,2024-02-19
1003,賃貸マンション,地下鉄桜通線 桜山駅 3階建 築37年,愛知県名古屋市瑞穂区洲雲町２,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄桜通線/御器所駅 歩23分,築37年,3階建,2階,3万円,2000円,-,-,1K,18m2,https://suumo.jp/chintai/jnc_000078453422/?bc=100364343238,2024-02-19
1004,賃貸マンション,地下鉄桜通線 桜山駅 3階建 築37年,愛知県名古屋市瑞穂区洲雲町２,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄桜通線/御器所駅 歩23分,築37年,3階建,3階,3万円,2000円,-,-,1K,18m2,https://suumo.jp/chintai/jnc_000088418122/?bc=100353961136,2024-02-19
1005,賃貸マンション,菊園ガーデン,愛知県名古屋市昭和区菊園町２,地下鉄桜通線/桜山駅 歩8分,地下鉄鶴舞線/御器所駅 歩19分,地下鉄桜通線/瑞穂区役所駅 歩16分,築7年,3階建,3階,12.5万円,6000円,-,18.75万円,2LDK,69.53m2,https://suumo.jp/chintai/jnc_000088088759/?bc=100364053229,2024-02-19
1006,賃貸マンション,地下鉄桜通線 桜山駅 10階建 築3年,愛知県名古屋市昭和区広見町６,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄鶴舞線/御器所駅 歩12分,築3年,10階建,1階,6.6万円,7500円,6.6万円,6.6万円,ワンルーム,25.88m2,https://suumo.jp/chintai/jnc_000087355790/?bc=100359611885,2024-02-19
