id,property_type,building_name,address,access_1,access_2,access_3,age,building_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,posting_date,actual_cost
252,賃貸アパート,クレール・K・桜山,愛知県名古屋市瑞穂区駒場町４,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩11分,地下鉄鶴舞線/御器所駅 歩22分,築8年,2階建,1階,53500.0,4000.0,0.0,53500.0,1K,20.13,https://suumo.jp/chintai/jnc_000088481531/?bc=100366338930,2024-02-25,58614.583333333336
253,賃貸マンション,五軒家ハイツA棟,愛知県名古屋市昭和区五軒家町,地下鉄鶴舞線/川名駅 歩9分,地下鉄鶴舞線/いりなか駅 歩11分,地下鉄桜通線/桜山駅 歩17分,築48年,3階建,1階,55000.0,3000.0,110000.0,0.0,2LDK,44.7,https://suumo.jp/chintai/jnc_000076191743/?bc=100356052971,2024-02-25,60291.66666666666
254,賃貸マンション,五軒家ハイツA棟,愛知県名古屋市昭和区五軒家町,地下鉄鶴舞線/川名駅 歩9分,地下鉄鶴舞線/いりなか駅 歩11分,地下鉄桜通線/桜山駅 歩17分,築48年,3階建,2階,60000.0,3000.0,120000.0,0.0,1LDK,44.7,https://suumo.jp/chintai/jnc_000046467421/?bc=100367448342,2024-02-25,65500.0
255,賃貸マンション,五軒家ハイツA棟,愛知県名古屋市昭和区五軒家町,地下鉄鶴舞線/川名駅 歩9分,地下鉄鶴舞線/いりなか駅 歩11分,地下鉄桜通線/桜山駅 歩17分,築48年,3階建,2階,63000.0,3000.0,126000.0,0.0,1LDK,46.7,https://suumo.jp/chintai/jnc_000074644808/?bc=100367902905,2024-02-25,68625.0
256,賃貸アパート,Gradito,愛知県名古屋市瑞穂区御劔町３,地下鉄桜通線/桜山駅 歩11分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄鶴舞線/荒畑駅 歩18分,築10年,2階建,2階,63000.0,4700.0,0.0,0.0,1LDK,34.66,https://suumo.jp/chintai/jnc_000069063239/?bc=100230315390,2024-02-25,67700.0
257,賃貸アパート,Gradito,愛知県名古屋市瑞穂区御劔町３,地下鉄桜通線/桜山駅 歩11分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄鶴舞線/荒畑駅 歩18分,築10年,2階建,1階,65000.0,4700.0,0.0,0.0,1LDK,34.66,https://suumo.jp/chintai/jnc_000070631780/?bc=100258634652,2024-02-25,69700.0
258,賃貸アパート,Gradito,愛知県名古屋市瑞穂区御劔町３,地下鉄桜通線/桜山駅 歩11分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄鶴舞線/荒畑駅 歩18分,築10年,2階建,1階,67000.0,4700.0,0.0,0.0,1LDK,34.66,https://suumo.jp/chintai/jnc_000070631778/?bc=100262877960,2024-02-25,71700.0
259,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築17年,愛知県名古屋市瑞穂区川澄町４,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩10分,地下鉄桜通線/瑞穂運動場西駅 歩19分,築17年,2階建,1階,60500.0,3300.0,0.0,0.0,1K,30.01,https://suumo.jp/chintai/jnc_000088683432/?bc=100367608253,2024-02-25,63800.0
260,賃貸マンション,地下鉄鶴舞線 荒畑駅 9階建 築18年,愛知県名古屋市昭和区円上町,地下鉄鶴舞線/荒畑駅 歩15分,地下鉄桜通線/桜山駅 歩19分,ＪＲ中央本線/鶴舞駅 歩23分,築18年,9階建,1階,52000.0,6000.0,52000.0,0.0,1K,29.9,https://suumo.jp/chintai/jnc_000075065586/?bc=100367908842,2024-02-25,59083.333333333336
261,賃貸マンション,地下鉄鶴舞線 荒畑駅 9階建 築18年,愛知県名古屋市昭和区円上町,地下鉄鶴舞線/荒畑駅 歩15分,地下鉄桜通線/桜山駅 歩19分,ＪＲ中央本線/鶴舞駅 歩23分,築18年,9階建,2階,52000.0,6000.0,52000.0,0.0,1K,29.4,https://suumo.jp/chintai/jnc_000076416403/?bc=100346669239,2024-02-25,59083.333333333336
